id	signatuur	aut_id	auteur
TDRA000000003387	'S-GRAVENHAGE, KB : 133 F 9	LEXI000000003326	Johannes Scutken
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	LEXI000000003325	Geert Grote
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	LEXI000000003326	Johannes Scutken
TDRA000000013802	Olim VAN STOCKUM ('s-Gravenhage) : Cat. 2000-6-14/16, nr. 1179	LEXI000000003325	Geert Grote
TDRA000000007678	AMSTERDAM, UB : XV E 2	LEXI000000003325	Geert Grote
TDRA000000014610	GENT, UB : 3330	LEXI000000008728	Eduard de Dene
TDRA000000003813	BRUSSEL, KB : 11059	LEXI000000003325	Geert Grote
TDRA000000002502	WENEN, ONB : Series Nova 12886	LEXI000000022113	Lenaert vander Heyden
TDRA000000003998	BRUSSEL, KB : II 112	LEXI000000003803	Godfried van Wevel
TDRA000000003998	BRUSSEL, KB : II 112	LEXI000000003360	Hendrik Mande
TDRA000000003998	BRUSSEL, KB : II 112	LEXI000000003772	Henricus Suso
TDRA000000003998	BRUSSEL, KB : II 112	LEXI000000004327	Jan Brugman
TDRA000000003998	BRUSSEL, KB : II 112	LEXI000000003810	Jan van Leeuwen
TDRA000000003998	BRUSSEL, KB : II 112	LEXI000000003704	Jan van Ruusbroec
TDRA000000000507	UTRECHT, MCC : BMH 105	LEXI000000022543	Caesarius van Arles
TDRA000000006361	NIJMEGEN, JBB : 5000 A 29	LEXI000000007802	Guillelmus Hellu
TDRA000000001354	LEIDEN, UB : LTK 325	LEXI000000003704	Jan van Ruusbroec
TDRA000000001354	LEIDEN, UB : LTK 325	LEXI000000003326	Johannes Scutken
TDRA000000001354	LEIDEN, UB : LTK 325	LEXI000000003805	Meester Eckhart
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000003943	Augustijnken
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000006228	Boudewijn van der Lore
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000007486	Colpaert
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000007488	Egidius
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000002360	Jacob van Maerlant
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000007335	Jan Dille
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000021881	Jan Dingelsche
TDRA000000005898	BRUSSEL, KB : 15589-623	LEXI000000007341	Jan Knibbe
