TDRA000000003350	'S-GRAVENHAGE, KB : 74 G 2	Ludovicus Bloc
TDRA000000004826	DARMSTADT, HLHB : 69	Keulen
TDRA000000010106	LONDEN, UL : 509	Sangorski en Sutcliffe (Londen)
TDRA000000009084	SAN MARINO, HL : HM 1127	Mercier
TDRA000000010259	MODENA, BE : Lat. 857	Anthonius de Gavere
TDRA000000009456	WASHINGTON, LC : 51	Hagué
TDRA000000009495	AMSTERDAM, BPH : BPH 38	Anthonius de Gavere
TDRA000000010846	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 212	Utrecht
TDRA000000007684	AMSTERDAM, UB : XXV C 26	's-Hertogenbosch, Broeders van het Gemene Leven S. Gregorius /Fraterhuis
TDRA000000002703	'S-GRAVENHAGE, KB : 71 J 73	Ludovicus Bloc
TDRA000000002267	AMSTERDAM, UB : I G 24	Adrianus van Hoolwick
TDRA000000009508	AMSTERDAM, BPH : BPH 56	Nicolaas Spierinck
TDRA000000005859	UTRECHT, UB : 8 L 18	Dirck Claeszn Roest
TDRA000000015691	SALLOCH (New York) : Cat. 375, nr. 14	Johannes de Wesalia
TDRA000000007871	BRUSSEL, KB : IV 1013	Adams, Katherine
TDRA000000008001	Olim DE KERCKHOVE (Gent) : z.s.	Livinus Stuvaert
TDRA000000006616	WENEN, ONB : 1858	Ludovicus Bloc
TDRA000000007904	BRUSSEL, KB : IV 361	I. de Coulombes
TDRA000000009295	TURIJN, BN : L I 12	Livinus Stuvaert
TDRA000000010840	Olim KOCKX (Antwerpen) : Cat. 1878, nr. 144	Johannes Guilebert
TDRA000000016000	Olim BISHOP (New York) : 10	Nicholas van Doermale
TDRA000000011037	BALTIMORE, WAG : W. 202	Gruel, Léon
TDRA000000009297	KRAUS (New York) : Cat. 100, z.nr.	Livinus Stuvaert
TDRA000000010711	WENEN, ONB : Series Nova 2624	Ludovicus Bloc
TDRA000000005692	'S-GRAVENHAGE, KB : 76 F 2	Anthonius de Gavere
TDRA000000005692	'S-GRAVENHAGE, KB : 76 F 2	Johannes Guillebert
TDRA000000007126	BALTIMORE, WAG : W. 197	Livinus Stuvaert
TDRA000000016003	Olim BISHOP (New York) : 46	Gruel, Léon
TDRA000000007196	BALTIMORE, WAG : W. 270	Petit, Rémy (Parijs)
TDRA000000004689	BALTIMORE, WAG : W. 170	Joris de Gavere
TDRA000000009408	Olim DE CODT (Assebroek) : z.s.	Scharije, J.
TDRA000000012014	SAN MARINO, HL : HM 1162	Jeune, Derome le
TDRA000000001685	BRUSSEL, KB : IV 94	Joris de Gavere
TDRA000000015380	BALTIMORE, WAG : W. 255	Gruel, Léon
TDRA000000011858	Olim BUTE : 94	Leighton, J.
TDRA000000001444	ANTWERPEN, RG : Neerl. 12	Gent
TDRA000000010206	LEEDS, UL : Brotherton 14	Baynton (Bath)
TDRA000000010762	BALTIMORE, WAG : W. 196	Johannes de Lende
TDRA000000012015	SAN MARINO, HL : HM 1164	Joly
TDRA000000014923	WARBURG (New York) : 2	Rivière
TDRA000000014711	PRINCETON, UL : Garrett 58	Joris de Gavere
TDRA000000006301	Olim LEUVEN, UB : G 218 (verloren)	's-Hertogenbosch, Broeders van het Gemene Leven S. Gregorius /Fraterhuis
TDRA000000005634	MAASTRICHT, RHCL : 22.001 hss. GAM 462	Maastricht
TDRA000000010761	BALTIMORE, WAG : W. 246	Gruel, Léon
TDRA000000006739	ROTHSCHILD (Waddesdon Manor) : 9	Motte, A.
TDRA000000012012	SAN MARINO, HL : HM 1149	Bedford, F.
