TDRA000000011783	CHICAGO, NL : 38	Chicago, Newberry Library
TDRA000000011783	CHICAGO, NL : 38	Greene, Alexander
TDRA000000003387	'S-GRAVENHAGE, KB : 133 F 9	's-Gravenhage, Koninklijke Bibliotheek
TDRA000000003387	'S-GRAVENHAGE, KB : 133 F 9	Acquoy, Johannes Gerhardus Rijk
TDRA000000003387	'S-GRAVENHAGE, KB : 133 F 9	Serrée, J.J., Utrecht
TDRA000000003393	'S-GRAVENHAGE, KB : 130 E 3	's-Gravenhage, Koninklijke Bibliotheek
TDRA000000003393	'S-GRAVENHAGE, KB : 130 E 3	Lupus, Joseph Désiré
TDRA000000013180	AURICH, NSA : Dep. IV Msc. IX, 4	Aurich, Niedersächsisches Staatsarchiv
TDRA000000008588	OXFORD, BL : Canonici Liturg. 251	Canonici, Matteo Luigi
TDRA000000008588	OXFORD, BL : Canonici Liturg. 251	Oxford, Bodleian Library
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	Cambridge, Harvard University, Houghton Library
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	Foote jr., Henry Wilder
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	Foote sr., Henry Wilder
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	Hofer, Frances
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	Leiden
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	familie Gardner
TDRA000000011973	AUCKLAND, PL : 25	Auckland, Public Library
TDRA000000011973	AUCKLAND, PL : 25	Grey, George
TDRA000000011973	AUCKLAND, PL : 25	John Colquhoun
TDRA000000011973	AUCKLAND, PL : 25	Robert Keyth
TDRA000000011973	AUCKLAND, PL : 25	William Lovertie
TDRA000000013802	Olim VAN STOCKUM ('s-Gravenhage) : Cat. 2000-6-14/16, nr. 1179	Arij Willemse van Heyningen
TDRA000000013802	Olim VAN STOCKUM ('s-Gravenhage) : Cat. 2000-6-14/16, nr. 1179	Stockum, Van ('s-Gravenhage)
TDRA000000005053	KEULEN, HA : W 71	Keulen, Historisches Archiv
TDRA000000003344	'S-GRAVENHAGE, KB : 133 D 5	's-Gravenhage, Koninklijke Bibliotheek
TDRA000000003344	'S-GRAVENHAGE, KB : 133 D 5	Boas Berg, J.I. (Amsterdam)
TDRA000000014638	Olim VAN STOCKUM ('s-Gravenhage) : Cat. 1950-5-16/19, nr. 1390	Bos, H. ('s-Gravenhage)
TDRA000000014638	Olim VAN STOCKUM ('s-Gravenhage) : Cat. 1950-5-16/19, nr. 1390	Stockum, Van ('s-Gravenhage)
TDRA000000005735	LUIK, UB : 2083	Bamps, C. (Hasselt)
TDRA000000005735	LUIK, UB : 2083	Luik, Universiteitsbibliotheek
TDRA000000008205	'S-GRAVENHAGE, KB : 76 F 27	's-Gravenhage, Koninklijke Bibliotheek
TDRA000000008205	'S-GRAVENHAGE, KB : 76 F 27	Josse de Parmentier (Rijsel)
TDRA000000008205	'S-GRAVENHAGE, KB : 76 F 27	Lupus, Joseph Désiré
TDRA000000003350	'S-GRAVENHAGE, KB : 74 G 2	's-Gravenhage, Koninklijke Bibliotheek
TDRA000000003350	'S-GRAVENHAGE, KB : 74 G 2	Hekking, Willem
TDRA000000003350	'S-GRAVENHAGE, KB : 74 G 2	Mensing, Antoon W.M.
TDRA000000015532	Olim TREGASKIS (Londen) : Cat. 706, nr. 313	Tregaskis, James
TDRA000000011032	BALTIMORE, WAG : W. 721	Baltimore, Walters Art Gallery
TDRA000000011032	BALTIMORE, WAG : W. 721	Spanje
TDRA000000007678	AMSTERDAM, UB : XV E 2	Amsterdam, Universiteitsbibliotheek
TDRA000000016013	LEHMAN (New York) : C.30-31	Buttery
