id	signatuur	kopiist
TDRA000000014610	GENT, UB : 3330	Eduard de Dene
TDRA000000010847	HAARLEM, NHA : Losse Aanwinsten Inv. 1335	Jan Sybrantsen
TDRA000000006943	BELLE, MD : z.s.	Alheyt van Limberghen
TDRA000000001751	BRUSSEL, KB : IV 362	Van Meholt
TDRA000000002502	WENEN, ONB : Series Nova 12886	Catharina Steven
TDRA000000003998	BRUSSEL, KB : II 112	Jan van Emmerick
TDRA000000003998	BRUSSEL, KB : II 112	Servaeskopiist
TDRA000000000507	UTRECHT, MCC : BMH 105	Petrus Zwaninc
TDRA000000016198	Olim NEVENS ('s-Gravenhage) : z.s.	Jan Gooes
TDRA000000006348	Olim LEUVEN, UB : D 391 (verloren)	J. B.
TDRA000000006361	NIJMEGEN, JBB : 5000 A 29	Guillelmus Hellu
TDRA000000000274	GENT, UB : 1761	Janneken Pinnocx
TDRA000000001618	DEVENTER, SAB : Hs. I, 36 (101 F 15 KL)	Kopiiste van DEVENTER, SAB : 101 D 9
TDRA000000006639	NOVA RICE, PREMONSTRATENZERS : 70	Symon Nicolai
TDRA000000000466	UTRECHT, MCC : BMH 48	Kopiist van 'S-GRAVENHAGE, KB : 133 E 20
TDRA000000015719	BRUSSEL, KB : II 7604	Josse de Everen
TDRA000000009495	AMSTERDAM, BPH : BPH 38	David Aubert
TDRA000000003351	'S-GRAVENHAGE, KB : 71 J 69	Joannes Cantharopolitanus
TDRA000000004399	LONDEN, BL : Add. 25904	Foels Hoeymans
TDRA000000005736	LUIK, UB : 2328	Johanna Moys de Ruremunda
TDRA000000005736	LUIK, UB : 2328	Magdalena Moys de Colonia
TDRA000000004616	KOPENHAGEN, KB : Thott 131 Oct.	Stine Dutmers
TDRA000000006001	CUNEN (Oss) : 3 (BNM)	Elsbe van den Berghe
TDRA000000007519	Olim NIJHOFF ('s-Gravenhage) : 4 (BNM)	G. C.
TDRA000000005642	ZUTPHEN, RAZ : 9	Jo[h. ten Have]
TDRA000000010273	GENT, UB : 1357	Christophorus (de) Brukere
TDRA000000010266	DARMSTADT, HLHB : 1742	Jo. Ryel zu Everhartzclusen
TDRA000000013753	BRUSSEL, KB : 4948	Johannes Gilliaers
TDRA000000001380	LEIDEN, UB : LTK 354	Maritgen Jansdr
TDRA000000004011	BRUSSEL, KB : II 277	Zesde kopiiste van Maaseik
TDRA000000001155	UTRECHT, UB : Cat. 1030	Vierde kopiiste van Maaseik
TDRA000000007281	Olim WIEDER (Noordwijk) : z.s.	zuster Anna Martijnsdr van Utrecht
TDRA000000004617	KOPENHAGEN, KB : Thott 132 Oct.	Hille
TDRA000000010676	LUIK, UB : 660 A	Johannes van Ghelre
TDRA000000015054	DARMSTADT, HLHB : 1838	Elizabeth van Breithmar
TDRA000000004159	BRUSSEL, KB : II 5220	Zesde kopiiste van Maaseik
TDRA000000005079	KEULEN, HA : GB Oct. 11	Dorothea Manffeltz
TDRA000000000897	LEIDEN, UB : LTK 264	een onbekende vrouw
TDRA000000001223	TILBURG, TF : Haaren 5	Hillijaens, Lutgaerdes
TDRA000000003352	'S-GRAVENHAGE, KB : 130 E 22	Robertus Quercentius Cameracenus
TDRA000000013828	TRIER, SB : 788/1372 Oct.	Johannes Geseken
TDRA000000002935	BERLIJN, SBB-PK : Germ. Qu. 557	Jan Phillipsz.
TDRA000000004411	LONDEN, BL : Add. 29985	een onbekende vrouw
TDRA000000003632	BRUSSEL, KB : 1683-87	Katherina van Ghiseghem
TDRA000000015050	Olim HEUSSNER (Brussel) : Cat. 1854-12-14, nr. 184	Jaspar van Galen
TDRA000000001346	LEIDEN, UB : LTK 317	een onbekende vrouw
