id	signatuur	aantal_teksten	datering
TDRA000000011783	CHICAGO, NL : 38	1	1450
TDRA000000003387	'S-GRAVENHAGE, KB : 133 F 9	6	1450/1550
TDRA000000003393	'S-GRAVENHAGE, KB : 130 E 3	1	
TDRA000000013180	AURICH, NSA : Dep. IV Msc. IX, 4	2	14??
TDRA000000008588	OXFORD, BL : Canonici Liturg. 251	1	1390/1400
TDRA000000005912	CAMBRIDGE, HUL : Typ. 302	6	1471
TDRA000000011973	AUCKLAND, PL : 25	1	1460/1470
TDRA000000013802	Olim VAN STOCKUM ('s-Gravenhage) : Cat. 2000-6-14/16, nr. 1179	12	14??
TDRA000000005053	KEULEN, HA : W 71	1	
TDRA000000003344	'S-GRAVENHAGE, KB : 133 D 5	1	
TDRA000000014638	Olim VAN STOCKUM ('s-Gravenhage) : Cat. 1950-5-16/19, nr. 1390	1	1400/1450
TDRA000000005735	LUIK, UB : 2083	1	1500
TDRA000000008205	'S-GRAVENHAGE, KB : 76 F 27	1	1450/1475
TDRA000000003350	'S-GRAVENHAGE, KB : 74 G 2	1	1494
TDRA000000015532	Olim TREGASKIS (Londen) : Cat. 706, nr. 313	1	14??
TDRA000000011032	BALTIMORE, WAG : W. 721	1	1450
TDRA000000007678	AMSTERDAM, UB : XV E 2	8	14??
TDRA000000016013	LEHMAN (New York) : C.30-31	1	1500
TDRA000000006200	Olim LEUVEN, UB : 32 (verloren)	1	1408
TDRA000000003378	'S-GRAVENHAGE, KB : 73 G 38	1	1500/1550
TDRA000000014610	GENT, UB : 3330	1	1561
TDRA000000016007	LEHMAN (New York) : C.8	1	1490
TDRA000000015268	PHILADELPHIA, FL : Lewis European 100	1	1460
TDRA000000010847	HAARLEM, NHA : Losse Aanwinsten Inv. 1335	1	1565
TDRA000000006943	BELLE, MD : z.s.	1	1491
TDRA000000005292	WOLFENBÜTTEL, HAB : 88.9.2 Aug. Duod.	1	
TDRA000000005286	WOLFENBÜTTEL, HAB : 62.14 Aug. Oct.	1	14??
TDRA000000004198	BRUSSEL, KB : II 6403	1	14??
TDRA000000004826	DARMSTADT, HLHB : 69	1	1520
TDRA000000003813	BRUSSEL, KB : 11059	26	1475/1500
TDRA000000001751	BRUSSEL, KB : IV 362	5	1475/1500
TDRA000000005251	UTRECHT, MCC : Warmond 92 A 9	1	1480
TDRA000000005245	UTRECHT, MCC : Warmond 92 A 1	2	1460/1480
TDRA000000012739	KEMPE (Örnsköldsvik) : z.s.	1	1475/1500
TDRA000000010890	Olim MOERMAN (Brussel) : z.s.	2	1500
TDRA000000006002	AMSTERDAM, BPH : ICN 158	32	1480/1490
TDRA000000009457	WASHINGTON, LC : 60	1	14??
TDRA000000010106	LONDEN, UL : 509	1	14??
TDRA000000002502	WENEN, ONB : Series Nova 12886	13	1487
TDRA000000008985	UPPSALA, UB : C 517 l	1	1450/1500
TDRA000000009443	LÜBECK, SB : Theol. Germ. 42	18	1450/1500
TDRA000000006016	UPPSALA, UB : C 512	9	1480
TDRA000000016205	SYRACUSE, PL : 5	1	1400/1425
TDRA000000014412	Olim KARL und FABER (München) : Cat. 83/1963 nr. 18	1	1475/1500
TDRA000000004946	Olim UTRECHT, ABM : 12	1	
TDRA000000006189	TURIJN, MC : z.s.	1	
TDRA000000003973	BRUSSEL, KB : 21696	1	1440
TDRA000000003032	BERLIJN, SBB-PK : Germ. Oct. 324	1	
TDRA000000004985	UTRECHT, MCC : ABM 50	1	1507
TDRA000000012659	LUIK, UB : 2593 D	1	13??
TDRA000000008615	LONDEN, BL : Add. 18213	1	1400/1415
TDRA000000001157	UTRECHT, UB : Cat. 1032	19	1470
TDRA000000015122	Olim VAN DE WALLE (Gent) : 1	1	1480
TDRA000000003998	BRUSSEL, KB : II 112	70	1450/1500
TDRA000000000507	UTRECHT, MCC : BMH 105	7	1480
TDRA000000010072	LONDEN, BL : Add. 18850	1	1423
TDRA000000003768	BRUSSEL, KB : 5014	1	15??
TDRA000000009537	AMSTERDAM, BPH : ICN 139	1	1470/1500
TDRA000000004775	DARMSTADT, HLHB : 1844	5	
TDRA000000013786	'S-GRAVENHAGE, KB : 77 L 58	1	1465/1485
TDRA000000016198	Olim NEVENS ('s-Gravenhage) : z.s.	1	1557
TDRA000000014943	CAMBRIDGE, FM : 294	1	1500
TDRA000000009912	STONYHURST, GC : 47	1	1475/1500
