titel	datering	pagina	incipit	titel_norm	taal
TEXT000000003083	Gebeden; Ripuar.					duits;ripuarisch	TDRA000000005053
TEXT000000038015	Gebed tot S. Petrus		 f.128v	"O heilighe apostel sinte pieter goede herdeder scapen christi ontfanghet dat ghebet ende die begheerten dijnre dieneers..."			TDRA000000004209
TEXT000000030449	Gebed tot S. Maria		 f.217r-217v	"O hillige Maria moder ons heren Jhesu Cristi in den handen dyns lieven kindes ..."			TDRA000000005386
TEXT000000028206	Gebed tot het H. Aanschijn op de doek van S. Veronica		 f.148r-149r	"Ic gruet u ghebenedide aensicht myns liefs heren Jhesu Christi ..."			TDRA000000004709
TEXT000000032538	Getijdenboek, met kalender; Lat.	14??				latijn	TDRA000000013902
TEXT000000025050	Getijden van O.L.Vrouw, in proza met inleiding op rijm		 f.030r	"Dit sijn die ghetiden seven / Daer wij marien lof in gheven / Mettenen hoe si waert ontfaen / Daer ons salicheit leghet aen ..."			TDRA000000002496
TEXT000000001858	Getijdenboek	1510				onb	TDRA000000002767
TEXT000000027121	Fragment van een breviarium; Mnl.	1450/1500		"... des hent dat overlide dine verbolgentheit ende im settes tijt daerstu mijnre weder in ghedenckes ..."		nederlands	TDRA000000010822
TEXT000000028212	Gebed van de passie		 f.195v-196v	"Ic dancke u ende love here Jhesus Christus dat ghi uwe passie zoo moghendelike begonst ..."			TDRA000000003952
TEXT000000031743	Getijdenboek; fragm.; Mnl.	14??				nederlands	TDRA000000013476
TEXT000000024428	Gebed tot Maria		 f.114v-119r	"O gloriose Marien vrouwe ende alre suetste maget heilige Maria moder gades ..."			TDRA000000006028
TEXT000000013284	Gebed tot S. Maria op naam van Bernardus van Clairvaux		 f.209v-211v	"Wes gegruet suete ghenaden rijcke maghet, gloriose moeder ons heren, vrouwe scoen, witter dan die lielie ..."	Ongespecificeerde Mnl. teksten op naam van Bernardus van Clairvaux		TDRA000000003986
TEXT000000023347	Berijmd gebed tot de H. Andreas		 f.067v-068v	"Ic groetu weerde sinte Andries / Weerde apostel gods vrient goet /..."			TDRA000000005363
TEXT000000003097	Overwegingen over het leven van Jezus. Gebeden. Etc. Ripuar.					duits;ripuarisch	TDRA000000005074
